6.01,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.02,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.03,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.04,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.05,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.06,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.07,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.08,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.09,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.1,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.11,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.12,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.13,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.14,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.15,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.16,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.17,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.18,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.19,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.2,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.21,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.22,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.23,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.24,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.25,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.26,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.27,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.28,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.29,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.3,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.31,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.32,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.33,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.34,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.35,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.36,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
6.37,6-6.50,6.0-7.0,6.0 - 8.0,6.00 - 10.0
